bioproject,acc,biosample,consent,releasedate,librarysource,libraryselection,librarylayout,platform,instrument,organism,mbases,avgspotlen,assay_type,group,sample
PRJNA889771,SRR21898752,SAMN31253662,public,2022-10-13,METAGENOMIC,RANDOM,PAIRED,ILLUMINA,Illumina NovaSeq 6000,human skin metagenome,4206,149,WGS,SAMN31253662,SRR21898752
PRJNA659776,SRR12542691,SAMN15925756,public,2021-09-01,METAGENOMIC,RANDOM,PAIRED,ILLUMINA,NextSeq 500,human skin metagenome,9535,302,WGS,SAMN15925756,SRR12542691
PRJNA471898,SRR7688793,SAMN09715422,public,2018-10-12,METAGENOMIC,RANDOM,PAIRED,ILLUMINA,Illumina HiSeq 2500,human skin metagenome,5903,252,WGS,SAMN09715422,SRR7688793
PRJNA889771,SRR21898740,SAMN31253673,public,2022-10-13,METAGENOMIC,RANDOM,PAIRED,ILLUMINA,Illumina NovaSeq 6000,human skin metagenome,5249,149,WGS,SAMN31253673,SRR21898740
PRJNA1095567,SRR28535456,SAMN40729989,public,2024-04-05,METAGENOMIC,RANDOM,PAIRED,ILLUMINA,Illumina HiSeq 2500,human skin metagenome,6166,502,WGS,SAMN40729989,SRR28535456
PRJNA415710,SRR6216824,SAMN07833583,public,2018-12-31,METAGENOMIC,RANDOM,PAIRED,ILLUMINA,NextSeq 500,human skin metagenome,1416,234,WGS,SAMN07833583,SRR6216824
PRJNA1211286,SRR32020015,SAMN46271926,public,2025-04-17,METAGENOMIC,RANDOM,PAIRED,ILLUMINA,Illumina NovaSeq 6000,human skin metagenome,6475,285,WGS,SAMN46271926,SRR32020015
PRJNA1099173,SRR28625058,SAMN40929006,public,2024-04-11,METAGENOMIC,RANDOM,PAIRED,ILLUMINA,Illumina HiSeq 3000,human skin metagenome,7253,201,WGS,SAMN40929006,SRR28625058
PRJNA854811,SRR20002401,SAMN29453794,public,2024-07-01,METAGENOMIC,RANDOM,PAIRED,ILLUMINA,Illumina NovaSeq 6000,human skin metagenome,8920,302,WGS,SAMN29453794,SRR20002401
PRJNA855020,SRR19981810,SAMN29478163,public,2022-07-05,TRANSCRIPTOMIC,RT-PCR,PAIRED,ILLUMINA,HiSeq X Ten,human skin metagenome,9869,300,RNA-Seq,SAMN29478163,SRR19981810
PRJNA906500,SRR22444237,SAMN31926676,public,2022-12-08,METAGENOMIC,RANDOM,PAIRED,ILLUMINA,Illumina NovaSeq 6000,human skin metagenome,9507,302,WGS,SAMN31926676,SRR22444237
PRJEB67362,ERR12160696,SAMEA114404556,public,2023-10-27,METAGENOMIC,other,PAIRED,ILLUMINA,Illumina NovaSeq X,human skin metagenome,5025,302,WGS,SAMEA114404556,ERR12160696
PRJNA814343,SRR18292668,SAMN26549450,public,2023-02-22,METAGENOMIC,RANDOM,PAIRED,ILLUMINA,HiSeq X Ten,human skin metagenome,9586,300,WGS,SAMN26549450,SRR18292668
PRJNA260091,SRR2026980,SAMN03614186,public,2016-05-14,METATRANSCRIPTOMIC,unspecified,PAIRED,ILLUMINA,Illumina HiSeq 2500,human skin metagenome,4150,100,RNA-Seq,SAMN03614186,SRR2026980
PRJNA1073697,SRR27883930,SAMN39836441,public,2024-04-15,METAGENOMIC,MDA,PAIRED,ILLUMINA,Illumina NovaSeq 6000,human skin metagenome,3478,302,WGS,SAMN39836441,SRR27883930
PRJNA471898,SRR7992620,SAMN10173381,public,2018-10-12,METAGENOMIC,RANDOM,PAIRED,ILLUMINA,Illumina HiSeq 2500,human skin metagenome,5394,252,WGS,SAMN10173381,SRR7992620
PRJNA277905,SRR1950718,SAMN03398532,public,2016-03-26,METAGENOMIC,RANDOM,PAIRED,ILLUMINA,Illumina HiSeq 2000,human skin metagenome,3924,200,WGS,SAMN03398532,SRR1950718
PRJNA935688,SRR23496220,SAMN33323389,public,2023-06-05,METAGENOMIC,RANDOM,PAIRED,ILLUMINA,Illumina HiSeq 2500,human skin metagenome,9787,290,WGS,SAMN33323389,SRR23496220
PRJNA46333,SRR3184500,SAMN04359952,public,2016-05-01,METAGENOMIC,RANDOM,PAIRED,ILLUMINA,Illumina HiSeq 2000,human skin metagenome,8934,202,WGS,SAMN04359952,SRR3184500
PRJNA1099173,SRR28624936,SAMN40929072,public,2024-04-11,METAGENOMIC,RANDOM,PAIRED,ILLUMINA,Illumina HiSeq 3000,human skin metagenome,7320,201,WGS,SAMN40929072,SRR28624936
PRJNA1095567,SRR28535451,SAMN40730002,public,2024-04-05,METAGENOMIC,RANDOM,PAIRED,ILLUMINA,Illumina HiSeq 2500,human skin metagenome,7812,502,WGS,SAMN40730002,SRR28535451
PRJNA46333,SRR3187092,SAMN04360027,public,2016-05-01,METAGENOMIC,RANDOM,PAIRED,ILLUMINA,Illumina HiSeq 2000,human skin metagenome,8665,202,WGS,SAMN04360027,SRR3187092
PRJEB67362,ERR12160695,SAMEA114404555,public,2023-10-27,METAGENOMIC,other,PAIRED,ILLUMINA,Illumina NovaSeq X,human skin metagenome,5004,302,WGS,SAMEA114404555,ERR12160695
PRJNA872116,SRR21973339,SAMN30890124,public,2023-06-29,METAGENOMIC,RANDOM,PAIRED,ILLUMINA,Illumina NovaSeq 6000,human skin metagenome,9058,302,WGS,SAMN30890124,SRR21973339
PRJNA814343,SRR18292707,SAMN26549470,public,2023-02-22,METAGENOMIC,RANDOM,PAIRED,ILLUMINA,HiSeq X Ten,human skin metagenome,9212,300,WGS,SAMN26549470,SRR18292707
