bioproject,acc,biosample,consent,releasedate,librarysource,libraryselection,librarylayout,platform,instrument,organism,mbases,avgspotlen,assay_type,group,sample
PRJNA797778,SRR17635597,SAMN25037458,public,2022-02-16,METAGENOMIC,RANDOM,PAIRED,ILLUMINA,Illumina HiSeq 4000,human vaginal metagenome,9676,284,WGS,SAMN25037458,SRR17635597
PRJEB50547,ERR8303642,SAMEA12789627,public,2023-01-04,METATRANSCRIPTOMIC,Inverse rRNA,PAIRED,ILLUMINA,Illumina NovaSeq 6000,human vaginal metagenome,9863,197,RNA-Seq,SAMEA12789627,ERR8303642
PRJEB34536,ERR4421602,SAMEA7130486,public,2020-08-08,METAGENOMIC,RANDOM,PAIRED,ILLUMINA,NextSeq 500,human vaginal metagenome,2529,302,OTHER,SAMEA7130486,ERR4421602
PRJNA1133690,SRR29825732,SAMN42383905,public,2025-05-31,METAGENOMIC,RANDOM,PAIRED,ILLUMINA,Illumina NovaSeq 6000,human vaginal metagenome,9942,302,WGS,SAMN42383905,SRR29825732
PRJNA798061,SRR26038882,SAMN37358867,public,2024-01-29,METAGENOMIC,RANDOM,PAIRED,ILLUMINA,Illumina NovaSeq 6000,human vaginal metagenome,9548,291,WGS,SAMN37358867,SRR26038882
PRJNA555623,SRR9719717,SAMN12324613,public,2019-08-28,TRANSCRIPTOMIC,cDNA,PAIRED,ILLUMINA,Illumina HiSeq 2500,human semen metagenome,2245,98,RNA-Seq,SAMN12324613,SRR9719717
PRJNA555623,SRR9719737,SAMN12324624,public,2019-08-28,TRANSCRIPTOMIC,cDNA,PAIRED,ILLUMINA,Illumina HiSeq 2500,human semen metagenome,1934,98,RNA-Seq,SAMN12324624,SRR9719737
PRJNA576566,SRR10258561,SAMN12997210,public,2020-01-28,METAGENOMIC,RANDOM,PAIRED,ILLUMINA,HiSeq X Ten,human vaginal metagenome,9476,300,WGS,SAMN12997210,SRR10258561
PRJNA700071,SRR13740787,SAMN17964576,public,2022-01-17,METAGENOMIC,RANDOM,PAIRED,ILLUMINA,NextSeq 500,human urinary tract metagenome,2925,263,WGS,SAMN17964576,SRR13740787
PRJNA767784,SRR16503451,SAMN22416354,public,2022-11-18,METAGENOMIC,unspecified,PAIRED,ILLUMINA,Illumina NovaSeq 6000,human vaginal metagenome,2009,293,WGS,SAMN22416354,SRR16503451
PRJNA801448,SRR17798717,SAMN25349978,public,2022-08-25,METAGENOMIC,RANDOM,PAIRED,ILLUMINA,NextSeq 500,human urinary tract metagenome,8700,282,WGS,SAMN25349978,SRR17798717
