bioproject,acc,biosample,consent,releasedate,librarysource,libraryselection,librarylayout,platform,instrument,organism,mbases,avgspotlen,assay_type,group,sample
PRJEB74139,ERR12814943,SAMEA115430610,public,2025-05-02,METAGENOMIC,RANDOM,PAIRED,ILLUMINA,Illumina NovaSeq 6000,human oral metagenome,9509,300,WGS,SAMEA115430610,ERR12814943
PRJEB79944,ERR15003952,SAMEA118336154,public,2025-05-21,METAGENOMIC,RANDOM,PAIRED,ILLUMINA,Illumina NovaSeq 6000,human oral metagenome,4945,288,WGS,SAMEA118336154,ERR15003952
PRJNA1129267,SRR29646165,SAMN42148617,public,2025-06-21,TRANSCRIPTOMIC,other,PAIRED,ILLUMINA,Illumina NovaSeq 6000,human oral metagenome,3902,302,RNA-Seq,SAMN42148617,SRR29646165
PRJNA1268909,SRR33730232,SAMN48767604,public,2025-05-28,METAGENOMIC,RANDOM,PAIRED,ILLUMINA,Illumina NovaSeq X Plus,human oral metagenome,8318,264,WGS,SAMN48767604,SRR33730232
PRJNA698366,SRR29257947,SAMN41640328,public,2025-06-30,METAGENOMIC,RANDOM PCR,PAIRED,ILLUMINA,Illumina NovaSeq 6000,human nasopharyngeal metagenome,1376,285,WGS,SAMN41640328,SRR29257947
PRJEB74139,ERR12814868,SAMEA115430628,public,2025-05-02,METAGENOMIC,RANDOM,PAIRED,ILLUMINA,Illumina NovaSeq 6000,human oral metagenome,8161,300,WGS,SAMEA115430628,ERR12814868
PRJNA1268909,SRR33730200,SAMN48767633,public,2025-05-28,METAGENOMIC,RANDOM,PAIRED,ILLUMINA,Illumina NovaSeq X Plus,human oral metagenome,6277,252,WGS,SAMN48767633,SRR33730200
PRJDB20343,DRR658756,SAMD00889222,public,2025-05-01,METAGENOMIC,RANDOM,PAIRED,ILLUMINA,Illumina NovaSeq X,human oral metagenome,5925,299,WGS,SAMD00889222,DRR658756
PRJEB74139,ERR12814936,SAMEA115430607,public,2025-05-02,METAGENOMIC,RANDOM,PAIRED,ILLUMINA,Illumina NovaSeq 6000,human oral metagenome,8546,300,WGS,SAMEA115430607,ERR12814936
PRJEB79944,ERR15003723,SAMEA118335925,public,2025-05-21,METAGENOMIC,RANDOM,PAIRED,ILLUMINA,Illumina NovaSeq 6000,human oral metagenome,9571,291,WGS,SAMEA118335925,ERR15003723
