sample,bioproject,group,biosample,acc,fastq_1,fastq_2
SAMN11310298_SRR8834122_cf,prjna530252,SRR8834122,SAMN11310298,SRR8834122,,
SAMN11310265_SRR8834087_cf,prjna530252,SRR8834087,SAMN11310265,SRR8834087,,
SAMN11310278_SRR8834101_cf,prjna530252,SRR8834101,SAMN11310278,SRR8834101,,
SAMN11310236_SRR8834057_cf,prjna530252,SRR8834057,SAMN11310236,SRR8834057,,
SAMN11310263_SRR8834085_cf,prjna530252,SRR8834085,SAMN11310263,SRR8834085,,
SAMN11310253_SRR8834074_cf,prjna530252,SRR8834074,SAMN11310253,SRR8834074,,
SAMN11310280_SRR8834103_cf,prjna530252,SRR8834103,SAMN11310280,SRR8834103,,
SAMN11310248_SRR8834069_cf,prjna530252,SRR8834069,SAMN11310248,SRR8834069,,
SAMN11310348_SRR8834174_cf,prjna530252,SRR8834174,SAMN11310348,SRR8834174,,
SAMN11310358_SRR8834184_cf,prjna530252,SRR8834184,SAMN11310358,SRR8834184,,
SAMN11310354_SRR8834180_cf,prjna530252,SRR8834180,SAMN11310354,SRR8834180,,
SAMN11310260_SRR8834082_cf,prjna530252,SRR8834082,SAMN11310260,SRR8834082,,
SAMN11310322_SRR8834147_cf,prjna530252,SRR8834147,SAMN11310322,SRR8834147,,
SAMN11310259_SRR8834081_cf,prjna530252,SRR8834081,SAMN11310259,SRR8834081,,
SAMN11310307_SRR8834131_cf,prjna530252,SRR8834131,SAMN11310307,SRR8834131,,
SAMN11310231_SRR8834052_cf,prjna530252,SRR8834052,SAMN11310231,SRR8834052,,
SAMN11310241_SRR8834062_cf,prjna530252,SRR8834062,SAMN11310241,SRR8834062,,
SAMN11310350_SRR8834176_cf,prjna530252,SRR8834176,SAMN11310350,SRR8834176,,
SAMN11310220_SRR8834041_cf,prjna530252,SRR8834041,SAMN11310220,SRR8834041,,
SAMN11310318_SRR8834143_cf,prjna530252,SRR8834143,SAMN11310318,SRR8834143,,
SAMN11310223_SRR8834044_cf,prjna530252,SRR8834044,SAMN11310223,SRR8834044,,
SAMN11310239_SRR8834060_cf,prjna530252,SRR8834060,SAMN11310239,SRR8834060,,
SAMN11310306_SRR8834130_cf,prjna530252,SRR8834130,SAMN11310306,SRR8834130,,
SAMN11310256_SRR8834078_cf,prjna530252,SRR8834078,SAMN11310256,SRR8834078,,
SAMN11310315_SRR8834140_cf,prjna530252,SRR8834140,SAMN11310315,SRR8834140,,
SAMN11310299_SRR8834123_cf,prjna530252,SRR8834123,SAMN11310299,SRR8834123,,
SAMN11310332_SRR8834158_cf,prjna530252,SRR8834158,SAMN11310332,SRR8834158,,
SAMN11310308_SRR8834132_cf,prjna530252,SRR8834132,SAMN11310308,SRR8834132,,
SAMN11310317_SRR8834142_cf,prjna530252,SRR8834142,SAMN11310317,SRR8834142,,
SAMN11310234_SRR8834055_cf,prjna530252,SRR8834055,SAMN11310234,SRR8834055,,
SAMN11310281_SRR8834104_cf,prjna530252,SRR8834104,SAMN11310281,SRR8834104,,
SAMN11310294_SRR8834118_cf,prjna530252,SRR8834118,SAMN11310294,SRR8834118,,
SAMN11310323_SRR8834148_cf,prjna530252,SRR8834148,SAMN11310323,SRR8834148,,
SAMN11310314_SRR8834139_cf,prjna530252,SRR8834139,SAMN11310314,SRR8834139,,
SAMN11310210_SRR8834031_cf,prjna530252,SRR8834031,SAMN11310210,SRR8834031,,
SAMN11310334_SRR8834160_cf,prjna530252,SRR8834160,SAMN11310334,SRR8834160,,
SAMN11310267_SRR8834089_cf,prjna530252,SRR8834089,SAMN11310267,SRR8834089,,
SAMN11310238_SRR8834059_cf,prjna530252,SRR8834059,SAMN11310238,SRR8834059,,
SAMN11310341_SRR8834167_cf,prjna530252,SRR8834167,SAMN11310341,SRR8834167,,
SAMN11310335_SRR8834161_cf,prjna530252,SRR8834161,SAMN11310335,SRR8834161,,
SAMN11310300_SRR8834124_cf,prjna530252,SRR8834124,SAMN11310300,SRR8834124,,
SAMN11310266_SRR8834088_cf,prjna530252,SRR8834088,SAMN11310266,SRR8834088,,
SAMN11310310_SRR8834134_cf,prjna530252,SRR8834134,SAMN11310310,SRR8834134,,
SAMN11310216_SRR8834037_cf,prjna530252,SRR8834037,SAMN11310216,SRR8834037,,
SAMN11310274_SRR8834097_cf,prjna530252,SRR8834097,SAMN11310274,SRR8834097,,
SAMN11310351_SRR8834177_cf,prjna530252,SRR8834177,SAMN11310351,SRR8834177,,
SAMN11310250_SRR8834071_cf,prjna530252,SRR8834071,SAMN11310250,SRR8834071,,
SAMN11310302_SRR8834126_cf,prjna530252,SRR8834126,SAMN11310302,SRR8834126,,
SAMN11310255_SRR8834076_cf,prjna530252,SRR8834076,SAMN11310255,SRR8834076,,
SAMN11310221_SRR8834042_cf,prjna530252,SRR8834042,SAMN11310221,SRR8834042,,
SAMN11310360_SRR8834186_cf,prjna530252,SRR8834186,SAMN11310360,SRR8834186,,
SAMN11310229_SRR8834050_cf,prjna530252,SRR8834050,SAMN11310229,SRR8834050,,
SAMN11310264_SRR8834086_cf,prjna530252,SRR8834086,SAMN11310264,SRR8834086,,
SAMN11310303_SRR8834127_cf,prjna530252,SRR8834127,SAMN11310303,SRR8834127,,
SAMN11310270_SRR8834092_cf,prjna530252,SRR8834092,SAMN11310270,SRR8834092,,
SAMN11310326_SRR8834151_cf,prjna530252,SRR8834151,SAMN11310326,SRR8834151,,
SAMN11310245_SRR8834066_cf,prjna530252,SRR8834066,SAMN11310245,SRR8834066,,
SAMN11310352_SRR8834178_cf,prjna530252,SRR8834178,SAMN11310352,SRR8834178,,
SAMN11310301_SRR8834125_cf,prjna530252,SRR8834125,SAMN11310301,SRR8834125,,
SAMN11310336_SRR8834162_cf,prjna530252,SRR8834162,SAMN11310336,SRR8834162,,
SAMN11310283_SRR8834106_cf,prjna530252,SRR8834106,SAMN11310283,SRR8834106,,
SAMN11310288_SRR8834111_cf,prjna530252,SRR8834111,SAMN11310288,SRR8834111,,
SAMN27562223_SRR19051565_cf,prjna825831,SRR19051565,SAMN27562223,SRR19051565,,
SAMN27562284_SRR19051644_cf,prjna825831,SRR19051644,SAMN27562284,SRR19051644,,
SAMN27562189_SRR19051553_cf,prjna825831,SRR19051553,SAMN27562189,SRR19051553,,
SAMN27562286_SRR19051610_cf,prjna825831,SRR19051610,SAMN27562286,SRR19051610,,
SAMN27562218_SRR19051570_cf,prjna825831,SRR19051570,SAMN27562218,SRR19051570,,
SAMN27562296_SRR19051599_cf,prjna825831,SRR19051599,SAMN27562296,SRR19051599,,
SAMN27562219_SRR19051569_cf,prjna825831,SRR19051569,SAMN27562219,SRR19051569,,
SAMN27562295_SRR19051600_cf,prjna825831,SRR19051600,SAMN27562295,SRR19051600,,
SAMN27562229_SRR19051558_cf,prjna825831,SRR19051558,SAMN27562229,SRR19051558,,
SAMN27562269_SRR19051546_cf,prjna825831,SRR19051546,SAMN27562269,SRR19051546,,
SAMN27562293_SRR19051603_cf,prjna825831,SRR19051603,SAMN27562293,SRR19051603,,
SAMN27562287_SRR19051609_cf,prjna825831,SRR19051609,SAMN27562287,SRR19051609,,
SAMN27562260_SRR19051620_cf,prjna825831,SRR19051620,SAMN27562260,SRR19051620,,
SAMN27562228_SRR19051559_cf,prjna825831,SRR19051559,SAMN27562228,SRR19051559,,
SAMN27562292_SRR19051604_cf,prjna825831,SRR19051604,SAMN27562292,SRR19051604,,
SAMN27562202_SRR19051588_cf,prjna825831,SRR19051588,SAMN27562202,SRR19051588,,
SAMN27562190_SRR19051638_cf,prjna825831,SRR19051638,SAMN27562190,SRR19051638,,
SAMN27562214_SRR19051574_cf,prjna825831,SRR19051574,SAMN27562214,SRR19051574,,
SAMN27562227_SRR19051560_cf,prjna825831,SRR19051560,SAMN27562227,SRR19051560,,
SAMN27562268_SRR19051547_cf,prjna825831,SRR19051547,SAMN27562268,SRR19051547,,
SAMN27562283_SRR19051531_cf,prjna825831,SRR19051531,SAMN27562283,SRR19051531,,
SAMN27562277_SRR19051537_cf,prjna825831,SRR19051537,SAMN27562277,SRR19051537,,
SAMN27562289_SRR19051607_cf,prjna825831,SRR19051607,SAMN27562289,SRR19051607,,
SAMN27562281_SRR19051533_cf,prjna825831,SRR19051533,SAMN27562281,SRR19051533,,
SAMN27562278_SRR19051536_cf,prjna825831,SRR19051536,SAMN27562278,SRR19051536,,
SAMN27562213_SRR19051576_cf,prjna825831,SRR19051576,SAMN27562213,SRR19051576,,
SAMN27562248_SRR19051633_cf,prjna825831,SRR19051633,SAMN27562248,SRR19051633,,
SAMN27562188_SRR19051564_cf,prjna825831,SRR19051564,SAMN27562188,SRR19051564,,
SAMN27562254_SRR19051626_cf,prjna825831,SRR19051626,SAMN27562254,SRR19051626,,
SAMN27562234_SRR19051552_cf,prjna825831,SRR19051552,SAMN27562234,SRR19051552,,
SAMN27562233_SRR19051554_cf,prjna825831,SRR19051554,SAMN27562233,SRR19051554,,
SAMN27562211_SRR19051578_cf,prjna825831,SRR19051578,SAMN27562211,SRR19051578,,
SAMN27562257_SRR19051623_cf,prjna825831,SRR19051623,SAMN27562257,SRR19051623,,
SAMN27562240_SRR19051642_cf,prjna825831,SRR19051642,SAMN27562240,SRR19051642,,
SAMN27562252_SRR19051629_cf,prjna825831,SRR19051629,SAMN27562252,SRR19051629,,
SAMN27562243_SRR19051639_cf,prjna825831,SRR19051639,SAMN27562243,SRR19051639,,
SAMN27562201_SRR19051589_cf,prjna825831,SRR19051589,SAMN27562201,SRR19051589,,
SAMN27562273_SRR19051542_cf,prjna825831,SRR19051542,SAMN27562273,SRR19051542,,
SAMN27562222_SRR19051566_cf,prjna825831,SRR19051566,SAMN27562222,SRR19051566,,
SAMN27562285_SRR19051611_cf,prjna825831,SRR19051611,SAMN27562285,SRR19051611,,
SAMN27562216_SRR19051572_cf,prjna825831,SRR19051572,SAMN27562216,SRR19051572,,
SAMN27562272_SRR19051543_cf,prjna825831,SRR19051543,SAMN27562272,SRR19051543,,
SAMN27562191_SRR19051627_cf,prjna825831,SRR19051627,SAMN27562191,SRR19051627,,
SAMN27562192_SRR19051616_cf,prjna825831,SRR19051616,SAMN27562192,SRR19051616,,
SAMN27562209_SRR19051580_cf,prjna825831,SRR19051580,SAMN27562209,SRR19051580,,
SAMN27562215_SRR19051573_cf,prjna825831,SRR19051573,SAMN27562215,SRR19051573,,
SAMN27562247_SRR19051634_cf,prjna825831,SRR19051634,SAMN27562247,SRR19051634,,
SAMN27562200_SRR19051590_cf,prjna825831,SRR19051590,SAMN27562200,SRR19051590,,
SAMN27562221_SRR19051567_cf,prjna825831,SRR19051567,SAMN27562221,SRR19051567,,
SAMN27562232_SRR19051555_cf,prjna825831,SRR19051555,SAMN27562232,SRR19051555,,
SAMN27562267_SRR19051612_cf,prjna825831,SRR19051612,SAMN27562267,SRR19051612,,
SAMN27562235_SRR19051551_cf,prjna825831,SRR19051551,SAMN27562235,SRR19051551,,
SAMN27562271_SRR19051544_cf,prjna825831,SRR19051544,SAMN27562271,SRR19051544,,
SAMN27562225_SRR19051562_cf,prjna825831,SRR19051562,SAMN27562225,SRR19051562,,
SAMN27562242_SRR19051640_cf,prjna825831,SRR19051640,SAMN27562242,SRR19051640,,
SAMN27562291_SRR19051605_cf,prjna825831,SRR19051605,SAMN27562291,SRR19051605,,
SAMN27562230_SRR19051557_cf,prjna825831,SRR19051557,SAMN27562230,SRR19051557,,
SAMN27562261_SRR19051619_cf,prjna825831,SRR19051619,SAMN27562261,SRR19051619,,
SAMN27562195_SRR19051602_cf,prjna825831,SRR19051602,SAMN27562195,SRR19051602,,
SAMN27562224_SRR19051563_cf,prjna825831,SRR19051563,SAMN27562224,SRR19051563,,
SAMN27562205_SRR19051584_cf,prjna825831,SRR19051584,SAMN27562205,SRR19051584,,
SAMN27562196_SRR19051594_cf,prjna825831,SRR19051594,SAMN27562196,SRR19051594,,
SAMN27562231_SRR19051556_cf,prjna825831,SRR19051556,SAMN27562231,SRR19051556,,
SAMN27562294_SRR19051601_cf,prjna825831,SRR19051601,SAMN27562294,SRR19051601,,
SAMN27562203_SRR19051587_cf,prjna825831,SRR19051587,SAMN27562203,SRR19051587,,
SAMN27562193_SRR19051541_cf,prjna825831,SRR19051541,SAMN27562193,SRR19051541,,
SAMN27562208_SRR19051581_cf,prjna825831,SRR19051581,SAMN27562208,SRR19051581,,
SAMN27562185_SRR19051646_cf,prjna825831,SRR19051646,SAMN27562185,SRR19051646,,
SAMN27562210_SRR19051579_cf,prjna825831,SRR19051579,SAMN27562210,SRR19051579,,
SAMN27562256_SRR19051624_cf,prjna825831,SRR19051624,SAMN27562256,SRR19051624,,
SAMN27562263_SRR19051617_cf,prjna825831,SRR19051617,SAMN27562263,SRR19051617,,
SAMN27562245_SRR19051636_cf,prjna825831,SRR19051636,SAMN27562245,SRR19051636,,
SAMN27562186_SRR19051586_cf,prjna825831,SRR19051586,SAMN27562186,SRR19051586,,
SAMN27562299_SRR19051596_cf,prjna825831,SRR19051596,SAMN27562299,SRR19051596,,
SAMN27562184_SRR19051647_cf,prjna825831,SRR19051647,SAMN27562184,SRR19051647,,
SAMN27562206_SRR19051583_cf,prjna825831,SRR19051583,SAMN27562206,SRR19051583,,
SAMN27562270_SRR19051545_cf,prjna825831,SRR19051545,SAMN27562270,SRR19051545,,
SAMN27562298_SRR19051597_cf,prjna825831,SRR19051597,SAMN27562298,SRR19051597,,
SAMN27562249_SRR19051632_cf,prjna825831,SRR19051632,SAMN27562249,SRR19051632,,
SAMN27562255_SRR19051625_cf,prjna825831,SRR19051625,SAMN27562255,SRR19051625,,
SAMN27562237_SRR19051549_cf,prjna825831,SRR19051549,SAMN27562237,SRR19051549,,
SAMN27562275_SRR19051539_cf,prjna825831,SRR19051539,SAMN27562275,SRR19051539,,
SAMN27562236_SRR19051550_cf,prjna825831,SRR19051550,SAMN27562236,SRR19051550,,
SAMN27562217_SRR19051571_cf,prjna825831,SRR19051571,SAMN27562217,SRR19051571,,
SAMN27562204_SRR19051585_cf,prjna825831,SRR19051585,SAMN27562204,SRR19051585,,
SAMN27562288_SRR19051608_cf,prjna825831,SRR19051608,SAMN27562288,SRR19051608,,
SAMN27562253_SRR19051628_cf,prjna825831,SRR19051628,SAMN27562253,SRR19051628,,
SAMN27562282_SRR19051532_cf,prjna825831,SRR19051532,SAMN27562282,SRR19051532,,
SAMN27562265_SRR19051614_cf,prjna825831,SRR19051614,SAMN27562265,SRR19051614,,
SAMN27562250_SRR19051631_cf,prjna825831,SRR19051631,SAMN27562250,SRR19051631,,
SAMN27562220_SRR19051568_cf,prjna825831,SRR19051568,SAMN27562220,SRR19051568,,
SAMN27562239_SRR19051643_cf,prjna825831,SRR19051643,SAMN27562239,SRR19051643,,
SAMN27562207_SRR19051582_cf,prjna825831,SRR19051582,SAMN27562207,SRR19051582,,
SAMN27562198_SRR19051592_cf,prjna825831,SRR19051592,SAMN27562198,SRR19051592,,
SAMN27562266_SRR19051613_cf,prjna825831,SRR19051613,SAMN27562266,SRR19051613,,
SAMN27562199_SRR19051591_cf,prjna825831,SRR19051591,SAMN27562199,SRR19051591,,
SAMN27562297_SRR19051598_cf,prjna825831,SRR19051598,SAMN27562297,SRR19051598,,
SAMN27562262_SRR19051618_cf,prjna825831,SRR19051618,SAMN27562262,SRR19051618,,
SAMN27562259_SRR19051621_cf,prjna825831,SRR19051621,SAMN27562259,SRR19051621,,
SAMN27562264_SRR19051615_cf,prjna825831,SRR19051615,SAMN27562264,SRR19051615,,
SAMN27562197_SRR19051593_cf,prjna825831,SRR19051593,SAMN27562197,SRR19051593,,
SAMN27562279_SRR19051535_cf,prjna825831,SRR19051535,SAMN27562279,SRR19051535,,
