sample,bioproject,group,biosample,acc,fastq_1,fastq_2,fna
SAMN40993640_SRR28721271_cf,prjna1101448,SRR28721271,SAMN40993640,SRR28721271,/mmfs1/gscratch/pedslabs_hoffman/carsonjm/CFPhageome/results/uhvdb/assemble/prjna1101448/SRR28721271/SAMN40993640_SRR28721271_cf/readdownload/SRR28721271_R1.deacon.fastq.gz,/mmfs1/gscratch/pedslabs_hoffman/carsonjm/CFPhageome/results/uhvdb/assemble/prjna1101448/SRR28721271/SAMN40993640_SRR28721271_cf/readdownload/SRR28721271_R2.deacon.fastq.gz,/mmfs1/gscratch/pedslabs_hoffman/carsonjm/CFPhageome/results/uhvdb/assemble/prjna1101448/SRR28721271/SAMN40993640_SRR28721271_cf/megahit/SAMN40993640_SRR28721271_cf.contigs.fa.gz
SAMN40993663_SRR28721141_cf,prjna1101448,SRR28721141,SAMN40993663,SRR28721141,/mmfs1/gscratch/pedslabs_hoffman/carsonjm/CFPhageome/results/uhvdb/assemble/prjna1101448/SRR28721141/SAMN40993663_SRR28721141_cf/readdownload/SRR28721141_R1.deacon.fastq.gz,/mmfs1/gscratch/pedslabs_hoffman/carsonjm/CFPhageome/results/uhvdb/assemble/prjna1101448/SRR28721141/SAMN40993663_SRR28721141_cf/readdownload/SRR28721141_R2.deacon.fastq.gz,/mmfs1/gscratch/pedslabs_hoffman/carsonjm/CFPhageome/results/uhvdb/assemble/prjna1101448/SRR28721141/SAMN40993663_SRR28721141_cf/megahit/SAMN40993663_SRR28721141_cf.contigs.fa.gz
SAMN40993632_SRR28721169_cf,prjna1101448,SRR28721169,SAMN40993632,SRR28721169,/mmfs1/gscratch/pedslabs_hoffman/carsonjm/CFPhageome/results/uhvdb/assemble/prjna1101448/SRR28721169/SAMN40993632_SRR28721169_cf/readdownload/SRR28721169_R1.deacon.fastq.gz,/mmfs1/gscratch/pedslabs_hoffman/carsonjm/CFPhageome/results/uhvdb/assemble/prjna1101448/SRR28721169/SAMN40993632_SRR28721169_cf/readdownload/SRR28721169_R2.deacon.fastq.gz,/mmfs1/gscratch/pedslabs_hoffman/carsonjm/CFPhageome/results/uhvdb/assemble/prjna1101448/SRR28721169/SAMN40993632_SRR28721169_cf/megahit/SAMN40993632_SRR28721169_cf.contigs.fa.gz
SAMN40993697_SRR28721068_cf,prjna1101448,SRR28721068,SAMN40993697,SRR28721068,/mmfs1/gscratch/pedslabs_hoffman/carsonjm/CFPhageome/results/uhvdb/assemble/prjna1101448/SRR28721068/SAMN40993697_SRR28721068_cf/readdownload/SRR28721068_R1.deacon.fastq.gz,/mmfs1/gscratch/pedslabs_hoffman/carsonjm/CFPhageome/results/uhvdb/assemble/prjna1101448/SRR28721068/SAMN40993697_SRR28721068_cf/readdownload/SRR28721068_R2.deacon.fastq.gz,/mmfs1/gscratch/pedslabs_hoffman/carsonjm/CFPhageome/results/uhvdb/assemble/prjna1101448/SRR28721068/SAMN40993697_SRR28721068_cf/megahit/SAMN40993697_SRR28721068_cf.contigs.fa.gz
SAMN40993842_SRR28721120_cf,prjna1101448,SRR28721120,SAMN40993842,SRR28721120,/mmfs1/gscratch/pedslabs_hoffman/carsonjm/CFPhageome/results/uhvdb/assemble/prjna1101448/SRR28721120/SAMN40993842_SRR28721120_cf/readdownload/SRR28721120_R1.deacon.fastq.gz,/mmfs1/gscratch/pedslabs_hoffman/carsonjm/CFPhageome/results/uhvdb/assemble/prjna1101448/SRR28721120/SAMN40993842_SRR28721120_cf/readdownload/SRR28721120_R2.deacon.fastq.gz,/mmfs1/gscratch/pedslabs_hoffman/carsonjm/CFPhageome/results/uhvdb/assemble/prjna1101448/SRR28721120/SAMN40993842_SRR28721120_cf/megahit/SAMN40993842_SRR28721120_cf.contigs.fa.gz
SAMN40993741_SRR28721268_cf,prjna1101448,SRR28721268,SAMN40993741,SRR28721268,/mmfs1/gscratch/pedslabs_hoffman/carsonjm/CFPhageome/results/uhvdb/assemble/prjna1101448/SRR28721268/SAMN40993741_SRR28721268_cf/readdownload/SRR28721268_R1.deacon.fastq.gz,/mmfs1/gscratch/pedslabs_hoffman/carsonjm/CFPhageome/results/uhvdb/assemble/prjna1101448/SRR28721268/SAMN40993741_SRR28721268_cf/readdownload/SRR28721268_R2.deacon.fastq.gz,/mmfs1/gscratch/pedslabs_hoffman/carsonjm/CFPhageome/results/uhvdb/assemble/prjna1101448/SRR28721268/SAMN40993741_SRR28721268_cf/megahit/SAMN40993741_SRR28721268_cf.contigs.fa.gz
SAMN40993900_SRR28721343_cf,prjna1101448,SRR28721343,SAMN40993900,SRR28721343,/mmfs1/gscratch/pedslabs_hoffman/carsonjm/CFPhageome/results/uhvdb/assemble/prjna1101448/SRR28721343/SAMN40993900_SRR28721343_cf/readdownload/SRR28721343_R1.deacon.fastq.gz,/mmfs1/gscratch/pedslabs_hoffman/carsonjm/CFPhageome/results/uhvdb/assemble/prjna1101448/SRR28721343/SAMN40993900_SRR28721343_cf/readdownload/SRR28721343_R2.deacon.fastq.gz,/mmfs1/gscratch/pedslabs_hoffman/carsonjm/CFPhageome/results/uhvdb/assemble/prjna1101448/SRR28721343/SAMN40993900_SRR28721343_cf/megahit/SAMN40993900_SRR28721343_cf.contigs.fa.gz
SAMN40993648_SRR28721183_cf,prjna1101448,SRR28721183,SAMN40993648,SRR28721183,/mmfs1/gscratch/pedslabs_hoffman/carsonjm/CFPhageome/results/uhvdb/assemble/prjna1101448/SRR28721183/SAMN40993648_SRR28721183_cf/readdownload/SRR28721183_R1.deacon.fastq.gz,/mmfs1/gscratch/pedslabs_hoffman/carsonjm/CFPhageome/results/uhvdb/assemble/prjna1101448/SRR28721183/SAMN40993648_SRR28721183_cf/readdownload/SRR28721183_R2.deacon.fastq.gz,/mmfs1/gscratch/pedslabs_hoffman/carsonjm/CFPhageome/results/uhvdb/assemble/prjna1101448/SRR28721183/SAMN40993648_SRR28721183_cf/megahit/SAMN40993648_SRR28721183_cf.contigs.fa.gz
SAMN40993650_SRR28721124_cf,prjna1101448,SRR28721124,SAMN40993650,SRR28721124,/mmfs1/gscratch/pedslabs_hoffman/carsonjm/CFPhageome/results/uhvdb/assemble/prjna1101448/SRR28721124/SAMN40993650_SRR28721124_cf/readdownload/SRR28721124_R1.deacon.fastq.gz,/mmfs1/gscratch/pedslabs_hoffman/carsonjm/CFPhageome/results/uhvdb/assemble/prjna1101448/SRR28721124/SAMN40993650_SRR28721124_cf/readdownload/SRR28721124_R2.deacon.fastq.gz,/mmfs1/gscratch/pedslabs_hoffman/carsonjm/CFPhageome/results/uhvdb/assemble/prjna1101448/SRR28721124/SAMN40993650_SRR28721124_cf/megahit/SAMN40993650_SRR28721124_cf.contigs.fa.gz
SAMN40993915_SRR28721327_cf,prjna1101448,SRR28721327,SAMN40993915,SRR28721327,/mmfs1/gscratch/pedslabs_hoffman/carsonjm/CFPhageome/results/uhvdb/assemble/prjna1101448/SRR28721327/SAMN40993915_SRR28721327_cf/readdownload/SRR28721327_R1.deacon.fastq.gz,/mmfs1/gscratch/pedslabs_hoffman/carsonjm/CFPhageome/results/uhvdb/assemble/prjna1101448/SRR28721327/SAMN40993915_SRR28721327_cf/readdownload/SRR28721327_R2.deacon.fastq.gz,/mmfs1/gscratch/pedslabs_hoffman/carsonjm/CFPhageome/results/uhvdb/assemble/prjna1101448/SRR28721327/SAMN40993915_SRR28721327_cf/megahit/SAMN40993915_SRR28721327_cf.contigs.fa.gz
